"729", "IVGN", "s", "Invitrogen Corp"
"49", "JNJ", "s", "Johnson and Johnson"
"53", "JPM", "s", "J.P. Morgan and Company Inc."
"151", "KGF", "s", "KINGFISHER"
"76", "KLAC", "s", "KLA-Tencor Corporation"
"37", "KO", "s", "The Coca-Cola Co."
"731", "KSS", "s", "Kohl's Corp"
"732", "LEH", "s", "Lehman Brothers Holdings Inc"
"198", "LG", "s", "LAFARGE"
"152", "LLOY", "s", "LLOYDS TSB BANK"
"87", "LLTC", "s", "Linear Technology Corporation"
"734", "LLY", "s", "Eli Lilly & Co"
"736", "LRCX", "s", "Lam Research Corp"
"737", "LXK", "s", "Lexmark International"
"248", "MASN", "s", "MICRONAS SEMICONDU"
"315", "MC", "s", "Matsushita Electric Ind."
"50", "MCD", "s", "McDonald's Corp."
"738", "MCHP", "s", "Microchip Technology"
"310", "MITSY", "s", "Mitsui Co., Ltd."
"153", "MKS", "s", "Marks and Spencer"
"192", "ML", "s", "Michelin"
"246", "MLW", "s", "MERRILL LYNCH WRLD"
"52", "MMM", "s", "Minnesota Mining and Manufacturing Co. (3M)"
"740", "MNST", "s", "Monster Worldwide"
"54", "MO", "s", "Philip Morris Companies, Inc."
"118", "MPP", "s", "Medical Technology System"
"51", "MRK", "s", "Merck   Company, Inc."
"100", "MSFT", "s", "Microsoft Corporation"
"92", "MXIM", "s", "Maxim Integrated Products, Inc."
"743", "NEM", "s", "Newmont Mining Corp"
"218", "NESN", "s", "Nestle SA"
"242", "NEX", "s", "NATL EXPRESS GRP"
"744", "NFLX", "s", "NetFlix"
"745", "NOC", "s", "Northrop Grumman Corp"
"280", "NOK", "s", "Nokia"
"314", "NSANY", "s", "Nissan Motor Co., Ltd."
"747", "NTE", "s", "NAM TAI Electronics"
"748", "NTES", "s", "Netease.com"
"311", "NTT", "s", "Nippon Telegraph Teleph"
"749", "NVLS", "s", "Novellus Systems"
"115", "OHB", "s", "Orleans Homebuilders"
"191", "OR", "s", "L'oreal"
"94", "ORCL", "s", "Oracle Corporation"
"750", "OVTI", "s", "Omnivision Technologies"
"80", "PAYX", "s", "Paychex, Inc"
"64", "PCAR", "s", "PACCAR Inc."
"55", "PG", "s", "The Procter and Gamble Co."
"215", "PHIA", "s", "Philips Electronics"
"206", "PIN", "s", "Pinguin"
"98", "QCOM", "s", "Qualcomm Incorporated"
"329", "QQQQ", "s", "QQQQ"
"213", "RBACW", "s", "RABO AGAATH BANK"
"141", "RBS", "s", "ROYAL BANK OF SCOT"
"753", "RMBS", "s", "Rambus"
"193", "RNO", "s", "RENAULT"
"321", "ROS", "s", "OAO Rostelecom"
"156", "RR", "s", "ROLLS ROYCE"
"155", "RTR", "s", "REUTERS GROUP"
"224", "RUKN", "s", "SWISS REINSURANCE"
"138", "SBRY", "s", "SAINSBURY"
"85", "SBUX", "s", "Starbucks Corporation"
"282", "SEO", "s", "STORA ENSO OYJ"
"116", "SGA", "s", "Saga Communications, Inc."
"177", "SIE", "s", "SIEMENS AG"
"755", "SINA", "s", "Sina Corp"
"332", "SMH", "s", "SMH"
"756", "SNDK", "s", "Sandisk Corp"
"308", "SNE", "s", "Sony Corporation"
"324", "SNP", "s", "China Petroleum Chemica"
"757", "SNPS", "s", "Synopsys"
"758", "SOHU", "s", "Sohu.com"
"61", "SPLS", "s", "Staples, Inc."
"331", "SPY", "s", "SPY"
"63", "SYMC", "s", "Symantec Corporation"
"33", "T", "s", "AT T Corp."
"68", "TEVA", "s", "Teva Pharmaceutical Industries Limited"
"178", "TKA", "s", "THYSSENKRUPP AG"
"254", "TRP", "s", "TransCanada PipeLines Ltd"
"158", "TSCO", "s", "TESCO"
"307", "TSM", "s", "Taiwan Semiconductor Mfg"
"759", "TTWO", "s", "Take-Two Interactive Software"
"219", "UBSN", "s", "UBS AG"
"195", "UG", "s", "Peugeot SA"
"281", "UPM", "s", "UPM-KYMMENE OYJ"
"760", "UTSI", "s", "Utstarcom"
"57", "UTX", "s", "United Technologies Corp."
"234", "VK", "s", "VALLOUREC"
"179", "VOW", "s", "Volkswagen AG"
"762", "WLP", "s", "WellPoint Health Networks"
"58", "WMT", "s", "Walmart Stores, Inc."
"763", "WY", "s", "Weyerhaeuser Co"
"79", "XLNX", "s", "Xilinx, Inc."
"764", "XMSR", "s", "XM Satellite Radio Holdings"
"41", "XOM", "s", "Exxon Mobil Corp."
"765", "YHOO", "s", "Yahoo! "
"506", "XCP/USD", "c", "Copper"
"334", "XAG/USD", "c", "Silver"
"333", "XAU/USD", "c", "Gold"
"335", "XPT/USD", "c", "Platinum"
"336", "XPD/USD", "c", "Palladium"
"60", "AUD/JPY", "f", "Australian Dollar -> Japanese Yen"
"10", "AUD/USD", "f", "Australian Dollar -> US Dollar"
"767", "CAD/JPY", "f", "Canadian Dollar -> Japanese Yen"
"521", "CHF/JPY", "f", "Swiss Franc -> Japanese Yen"
"511", "EUR/CHF", "f", "Euro -> Swiss Frank"
"510", "EUR/GBP", "f", "Euro -> Great British Pound"
"509", "EUR/JPY", "f", "Euro -> Japanese Yen"
